Frequency (Hz),Real Refractive Index,Imaginary Refractive Index
100000000000.0,13.427289702789453,-4.190607098260432
200000000000.0,10.069485984522755,-6.731175444605229
300000000000.00006,6.26029452739348,-6.9107231530021025
400000000000.0,3.472510346410876,-5.294140120820474
500000000000.0,2.227320188767019,-3.097616100098342
600000000000.0001,2.1582930519830605,-1.2590654595133168
700000000000.0001,2.637673563797612,-0.0983192641690153
800000000000.0,3.2081494194759292,0.47264764610264903
900000000000.0,3.657461097713899,0.6650530256870321
1000000000000.0,3.9366677823635747,0.6640959560405764
1100000000000.0,4.0723062441137134,0.590337598557001
1200000000000.0002,4.112846483316839,0.5078859065518743
1300000000000.0,4.103785233144813,0.4431072703779874
1400000000000.0002,4.07892699428624,0.40092048086823445
1500000000000.0,4.0592526582601405,0.37614905074732846
1600000000000.0,4.054849846840594,0.3606392330891573
1700000000000.0002,4.067829778224967,0.3473335410632582
1800000000000.0,4.095337787420008,0.33221576906610817
1900000000000.0002,4.132237323518735,0.3147264988421479
2000000000000.0,4.173208273047169,0.29708623962433844
2100000000000.0,4.214094002697369,0.2829516730019647
2200000000000.0,4.252473203060046,0.2758750714022825
2300000000000.0005,4.287618303639111,0.27802784022004545
2400000000000.0005,4.320145669463666,0.28952844174310194
2500000000000.0,4.35167752141611,0.3085079834925592
2600000000000.0,4.384712442307637,0.3318319858342554
2700000000000.0,4.422719325912951,0.35624843539700746
2800000000000.0005,4.470333105885159,0.3796880996955771
2900000000000.0005,4.533490460017854,0.4025083616151824
3000000000000.0,4.6193639219733065,0.42862776506522604
3100000000000.0,4.735935319951932,0.4666996673520787
3200000000000.0,4.890873872016378,0.5316378265044903
3300000000000.0005,5.088917603405422,0.6467720196820168
3400000000000.0005,5.326087041137293,0.846260952128399
3500000000000.0,5.578113756447293,1.175061151007833
3600000000000.0,5.782018495361266,1.6780790126906795
3700000000000.0,5.822058784233651,2.3635140130144388
3800000000000.0005,5.560034738595961,3.1405609789776854
3900000000000.0005,4.945284715519138,3.801849829730159
4000000000000.0,4.10846986038308,4.146470315661499
4100000000000.0005,3.2758751669994712,4.136793076496276
4200000000000.0,2.601169929301175,3.8823855572044943
4300000000000.0,2.119386314738425,3.5166403584208092
4400000000000.0,1.80033326103096,3.128119233575789
4500000000000.0,1.5996612486173079,2.7592631624457176
4600000000000.001,1.480107080717872,2.4248206819023217
4700000000000.0,1.4152888200976772,2.1265344372154407
4800000000000.001,1.3877980162437615,1.8611519597340953
4900000000000.0,1.3865171799409464,1.6241179529822416
5000000000000.0,1.4044914718163044,1.4110847791843304
5100000000000.001,1.4374626366071581,1.2184457219202895
5200000000000.0,1.4828918499645711,1.0434749229302485
5300000000000.001,1.5392935183547252,0.8843350234880285
5400000000000.0,1.6057510495786143,0.7400544993618987
5500000000000.0,1.6815297899417512,0.6104940821820506
5600000000000.001,1.7657363384943616,0.4962732545784998
5700000000000.0,1.857007568010601,0.39859908876106315
5800000000000.001,1.953258051260412,0.31893488554430605
5900000000000.0,2.051569846062061,0.25848249368116705
6000000000000.0,2.148344760646457,0.21754514934610894
6100000000000.001,2.2398003214089433,0.19496698143973584
6200000000000.0,2.322739359613842,0.18792557247479957
6300000000000.001,2.395319642249239,0.19227165553738473
6400000000000.0,2.457461030279208,0.20335046390198847
6500000000000.0,2.5106777039154053,0.2169695303338886
6600000000000.001,2.5574255916783946,0.23011601485921845
6700000000000.0,2.600276451627235,0.24120872279640831
6800000000000.001,2.6412336562071674,0.24992273710335386
6900000000000.0,2.681357249827356,0.2567700419661847
7000000000000.0,2.7207114802027497,0.2626247985885291
7100000000000.001,2.7585635669079434,0.26831859912105727
7200000000000.0,2.7937386628012635,0.27436876865707566
7300000000000.001,2.8250349676905966,0.28086302089196624
7400000000000.0,2.8516044472054682,0.28749519018629555
7500000000000.0,2.8732134640425726,0.2937165069513907
7600000000000.001,2.8903268938336124,0.29893808202849137
7700000000000.0,2.904009700385027,0.3027086243581131
7800000000000.001,2.915693511938062,0.3048083601662008
7900000000000.0,2.9268883784596182,0.30523965672343706
8000000000000.0,2.9389198740197005,0.3041369571251376
8100000000000.0,2.952746218957227,0.3016444220724462
8200000000000.001,2.968876279915805,0.29781271659850506
8300000000000.001,2.9873813614780853,0.2925519648974283
8400000000000.0,3.0079770550311644,0.28565541640032904
8500000000000.0,3.030144830933164,0.27688547169025024
8600000000000.0,3.0532632962781223,0.26609529392052655
8700000000000.001,3.076723620994275,0.253348721497751
8800000000000.0,3.10001122319733,0.23900107535588913
8900000000000.0,3.122745463321574,0.22371409412693016
9000000000000.0,3.1446796403979236,0.20839667087148028
9100000000000.0,3.1656733115543543,0.194083444425282
9200000000000.002,3.1856556748091043,0.18177919439759566
9300000000000.0,3.2046002016517634,0.17230413804275369
9400000000000.0,3.22252550520058,0.16617281531182262
9500000000000.0,3.239526281442837,0.16352926751966432
9600000000000.002,3.255824404748264,0.16414692104213843
9700000000000.002,3.2718190474968725,0.1674864079511007
9800000000000.0,3.2881108143769344,0.17279181034583826
9900000000000.0,3.305480317671723,0.1791985343557674
10000000000000.0,3.324814414447087,0.18582617140079344
